"marca","modelo","emplacados","acumulado_anual","data"
"PORSCHE","PANAMERA","11","63","2024-03-02"
"AUDI","A4","14","29","2024-03-02"
"LEXUS","ES300","7","29","2024-03-02"
"BYD","HAN","0","25","2024-03-02"
"BMW","I4","6","19","2024-03-02"
"TOYOTA","CAMRY","3","14","2024-03-02"
"MBENZ","CLASSE_E","7","9","2024-03-02"
"FORD","BELINA","1","1","2024-03-02"
"VW","SPACE_FOX","0","1","2024-03-02"
"AUDI","RS6_AVANT","3","16","2024-03-02"
"VW","QUANTUM","0","1","2024-03-02"
"GM","BOLT","3","3","2024-03-02"
"FIAT","DOBLO","0","1","2024-03-02"
"GM","SPIN","457","2312","2024-03-02"
"CHRYSLER","PACIFICA","1","8","2024-03-02"
"TOYOTA","SIENNA","0","7","2024-03-02"
"KIA","CARNIVAL","0","2","2024-03-02"
"PORSCHE","911","159","396","2024-03-02"
"PORSCHE","BOXSTER","94","220","2024-03-02"
"PORSCHE","CAYMAN","29","73","2024-03-02"
"BMW","M3","28","60","2024-03-02"
"BMW","M2","24","49","2024-03-02"
"GM","CAMARO","11","49","2024-03-02"
"FORD","MUSTANG","14","44","2024-03-02"
"PORSCHE","TAYCAN","10","41","2024-03-02"
"GM","CORVETTE","6","23","2024-03-02"
"HYUNDAI","CRETA","4317","13600","2024-03-02"
"NISSAN","KICKS","5034","13015","2024-03-02"
"VW","T_CROSS","5462","12858","2024-03-02"
"GM","TRACKER","4711","12665","2024-03-02"
"JEEP","COMPASS","3971","11636","2024-03-02"
"FIAT","FASTBACK","3819","10704","2024-03-02"
"VW","NIVUS","3915","10703","2024-03-02"
"JEEP","RENEGADE","3881","10402","2024-03-02"
"HONDA","HR-V","3656","9706","2024-03-02"
"TOYOTA","COROLLA_CROSS","3326","9287","2024-03-02"
"FIAT","PULSE","3038","8523","2024-03-02"
"CAOA_CHERY","TIGGO_5X","2464","6434","2024-03-02"
"RENAULT","DUSTER","2208","5546","2024-03-02"
"BYD","SONG_PLUS","1450","4870","2024-03-02"
"GWM","HAVAL_H6","1097","3843","2024-03-02"
"TOYOTA","HILUX_SW4","1077","3554","2024-03-02"
"JEEP","COMMANDER","1026","3217","2024-03-02"
"VW","TAOS","930","3092","2024-03-02"
"CAOA_CHERY","TIGGO_7","1745","2854","2024-03-02"
"CAOA_CHERY","TIGGO_8","615","2296","2024-03-02"
"MITSUBISHI","ECLIPSE_CROSS","703","1768","2024-03-02"
"HONDA","ZR-V","619","1405","2024-03-02"
"FORD","TERRITORY","128","1183","2024-03-02"
"BMW","X1","502","1119","2024-03-02"
"CITROEN","C3_AIRCROSS","710","933","2024-03-02"
"VW","TIGUAN","348","912","2024-03-02"
"VOLVO","XC60","282","733","2024-03-02"
"BYD","YUAN_PLUS","224","723","2024-03-02"
"RENAULT","KARDIAN","616","654","2024-03-02"
"GM","EQUINOX","232","614","2024-03-02"
"FORD","BRONCO","219","579","2024-03-02"
"AUDI","Q3","227","545","2024-03-02"
"TOYOTA","RAV4","184","509","2024-03-02"
"CITROEN","C4_CACTUS","116","463","2024-03-02"
"MITSUBISHI","PAJERO","159","437","2024-03-02"
"LAND_ROVER","DISCOVERY","138","429","2024-03-02"
"AUDI","Q5","159","425","2024-03-02"
"PEUGEOT","2008","195","361","2024-03-02"
"VOLVO","XC40","84","357","2024-03-02"
"PEUGEOT","E2008","8","339","2024-03-02"
"FIAT","MOBI","5420","20085","2024-04-02"
"RENAULT","KWID","5185","18319","2024-04-02"
"VW","GOL","7","25","2024-04-02"
"FIAT","UNO","3","6","2024-04-02"
"VW","UP","1","3","2024-04-02"
"FIAT","PALIO","1","2","2024-04-02"
"GM","CHEVETTE","0","1","2024-04-02"
"VW","POLO","12434","39697","2024-04-02"
"GM","ONIX","9087","26853","2024-04-02"
"FIAT","ARGO","8599","26652","2024-04-02"
"HYUNDAI","HB20","8194","26247","2024-04-02"
"TOYOTA","YARIS_HB","2227","8222","2024-04-02"
"BYD","DOLPHIN","1619","6950","2024-04-02"
"CITROEN","C3","1537","6567","2024-04-02"
"PEUGEOT","208","1472","5974","2024-04-02"
"BYD","DOLPHIN_MINI","3143","5636","2024-04-02"
"HONDA","CITY_HATCH","1004","3485","2024-04-02"
"GWM","ORA_03","672","2564","2024-04-02"
"RENAULT","SANDERO","365","1598","2024-04-02"
"GM","CRUZE_HB","13","142","2024-04-02"
"AUDI","A3","27","130","2024-04-02"
"HONDA","CIVIC_TYPE-R","9","35","2024-04-02"
"NISSAN","LEAF","0","25","2024-04-02"
"BMW","118i","8","21","2024-04-02"
"MBENZ","CLASSE_A","12","19","2024-04-02"
"FIAT","CRONOS","3403","9869","2024-04-02"
"HYUNDAI","HB20S","2065","7192","2024-04-02"
"RENAULT","LOGAN","675","1096","2024-04-02"
"VW","VOYAGE","1","4","2024-04-02"
"FIAT","SIENA","1","2","2024-04-02"
"FORD","KA_SEDAN","1","1","2024-04-02"
"GM","PRISMA","0","1","2024-04-02"
"GM","ONIX_PLUS","7049","17852","2024-04-02"
"VW","VIRTUS","2456","10381","2024-04-02"
"TOYOTA","YARIS_SEDAN","1670","6235","2024-04-02"
"NISSAN","VERSA","991","3977","2024-04-02"
"HONDA","CITY","1004","3799","2024-04-02"
"VW","POLO_SEDAN","0","1","2024-04-02"
"TOYOTA","COROLLA","3104","10913","2024-04-02"
"BYD","SEAL","283","1698","2024-04-02"
"NISSAN","SENTRA","380","1542","2024-04-02"
"VW","JETTA","274","1043","2024-04-02"
"GM","CRUZE_SEDAN","116","594","2024-04-02"
"HONDA","CIVIC","145","478","2024-04-02"
"AUDI","A3_SEDAN","34","153","2024-04-02"
"MBENZ","CLA200","57","121","2024-04-02"
"AUDI","A5","24","100","2024-04-02"
"BMW","420I","10","50","2024-04-02"
"MBENZ","CLA45","13","30","2024-04-02"
"CAOA_CHERY","ARRIZO_6","3","22","2024-04-02"
"BMW","218I","2","11","2024-04-02"
"MBENZ","CLA35","1","9","2024-04-02"
"JAC","E-J7","2","9","2024-04-02"
"HYUNDAI","IONIQ","0","3","2024-04-02"
"VW","UP","0","3","2024-06-02"
"HYUNDAI","ELANTRA","0","1","2024-04-02"
"KIA","CERATO","0","1","2024-04-02"
"ROLLS_ROYCE","ROLLS_ROYCE","0","1","2024-04-02"
"VW","BORA","0","1","2024-04-02"
"VW","SANTANA","0","1","2024-04-02"
"BMW","320I","410","1189","2024-04-02"
"MBENZ","CLASSE_C","133","404","2024-04-02"
"PORSCHE","PANAMERA","51","114","2024-04-02"
"BMW","330E","15","99","2024-04-02"
"HONDA","ACCORD","13","84","2024-04-02"
"MBENZ","CLA200","3","79","2024-04-02"
"AUDI","A4","10","39","2024-04-02"
"LEXUS","ES300","8","37","2024-04-02"
"BYD","HAN","1","26","2024-04-02"
"BMW","I4","3","22","2024-04-02"
"TOYOTA","CAMRY","5","19","2024-04-02"
"BMW","I7","4","12","2024-04-02"
"FORD","BELINA","0","1","2024-04-02"
"VW","SPACE_FOX","0","1","2024-04-02"
"AUDI","RS6_AVANT","8","24","2024-04-02"
"VW","QUANTUM","0","1","2024-04-02"
"GM","BOLT","1","4","2024-04-02"
"FIAT","DOBLO","0","1","2024-04-02"
"GM","SPIN","2321","4633","2024-04-02"
"CHRYSLER","PACIFICA","1","9","2024-04-02"
"TOYOTA","SIENNA","2","9","2024-04-02"
"BYD","D1","8","8","2024-04-02"
"PORSCHE","911","205","601","2024-04-02"
"PORSCHE","BOXSTER","46","266","2024-04-02"
"PORSCHE","CAYMAN","28","101","2024-04-02"
"BMW","M3","26","86","2024-04-02"
"BMW","M2","32","81","2024-04-02"
"GM","CAMARO","9","58","2024-04-02"
"FORD","MUSTANG","4","48","2024-04-02"
"PORSCHE","TAYCAN","6","47","2024-04-02"
"GM","CORVETTE","10","33","2024-04-02"
"VW","T_CROSS","6224","19082","2024-04-02"
