marca,modelo,emplacados,acumulado_anual,data
MBENZ,CLA250,56,123,2023-12-2
PORSCHE,PANAMERA,44,76,2023-12-2
BYD,HAN,12,35,2023-12-2
BMW,I4,4,23,2023-12-2
LEXUS,ES300,12,18,2023-12-2
TOYOTA,CAMRY,9,16,2023-12-2
AUDI,E_TRON_GT,7,10,2023-12-2
BMW,530E,2,7,2023-12-2
VW,PARATI,1,2,2023-12-2
VW,SPACE_FOX,0,1,2023-12-2
AUDI,RS6_AVANT,0,3,2023-12-2
GM,CARAVAN,1,1,2023-12-2
VW,QUANTUM,1,1,2023-12-2
GM,BOLT,14,22,2023-12-2
FIAT,DOBLO,1,2,2023-12-2
GM,SPIN,1781,4505,2023-12-2
KIA,CARNIVAL,6,22,2023-12-2
BYD,D1,3,12,2023-12-2
TOYOTA,SIENNA,0,3,2023-12-2
PORSCHE,911,92,240,2023-12-2
BMW,M3,47,111,2023-12-2
FORD,MUSTANG,39,101,2023-12-2
PORSCHE,TAYCAN,24,70,2023-12-2
JAGUAR,F-TYPE,7,24,2023-12-2
PORSCHE,BOXSTER,21,23,2023-12-2
PORSCHE,CAYMAN,8,21,2023-12-2
GM,CORVETTE,3,13,2023-12-2
DODGE,CHALLENGER,4,9,2023-12-2
JEEP,COMPASS,6988,15556,2023-12-2
HYUNDAI,CRETA,5851,15424,2023-12-2
GM,TRACKER,5431,14496,2023-12-2
VW,T_CROSS,5420,14168,2023-12-2
NISSAN,KICKS,4844,11322,2023-12-2
JEEP,RENEGADE,4674,10742,2023-12-2
TOYOTA,COROLLA_CROSS,4511,10449,2023-12-2
FIAT,PULSE,4276,10050,2023-12-2
VW,NIVUS,3210,9084,2023-12-2
FIAT,FASTBACK,3605,8705,2023-12-2
HONDA,HR-V,4063,6470,2023-12-2
RENAULT,DUSTER,2031,5678,2023-12-2
JEEP,COMMANDER,2522,5386,2023-12-2
TOYOTA,HILUX_SW4,1412,3264,2023-12-2
VW,TAOS,855,3034,2023-12-2
CAOA_CHERY,TIGGO_8,653,1818,2023-12-2
